[2023-08-21 01:59:33,311] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2023-08-21 02:33:55,348] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-08-21 02:33:55,529] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 54 become-leader and 0 become-follower partitions (state.change.logger)
[2023-08-21 02:33:55,535] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 54 partitions (state.change.logger)
[2023-08-21 02:33:56,105] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 54 partitions (state.change.logger)
[2023-08-21 02:33:56,183] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 54 partitions (state.change.logger)
[2023-08-21 02:33:56,251] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,348] INFO [Broker id=0] Leader quickstart-events-0 with topic id Some(RE8m4mscSfGxc5sU9D5C2A) starts at leader epoch 0 from offset 4 with partition epoch 0, high watermark 4, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,351] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,422] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,462] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,505] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,601] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,686] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,732] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,766] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:56,767] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
